Food,Sugar,Carbs,Calories,Fiber,Protein,Fat,Sodium,Risk_Score,Label
honey,17.2,17.3,64.0,0.025,0.08,0.0,0.011,68.89244000000001,Avoid
apple butter,7.1,8.5,35.0,0.3,0.045,0.063,0.003,27.762805,Moderate
fruit jam,9.7,13.8,56.0,0.2,0.0,0.095,0.052,41.63119000000001,Moderate
chocolate hazelnut spread,10.0,11.5,100.0,1.0,1.0,5.5,0.099,34.99849,Moderate
peanut butter,1.0,3.6,88.0,0.9,3.3,7.4,0.085,0.7633699999999997,Highly Recommended
peanut spread,0.5,2.2,101.0,1.2,3.8,8.5,0.028,-2.8163899999999993,Highly Recommended
chicken spread,0.3,2.3,88.0,0.2,10.1,9.8,0.4,2.3343599999999993,Recommended
cheese spread,8.4,8.4,708.0,0.0,17.0,68.6,1.2,37.93408,Moderate
tahini,0.0,3.9,86.0,1.4,2.7,7.2,0.098,-2.6887099999999995,Highly Recommended
orange marmalade,12.0,13.3,49.0,0.1,0.014,0.0,0.016,48.702915000000004,Avoid
american cheese spread,1.2,1.4,46.0,0.0,2.6,3.4,0.3,5.18266,Recommended
apricot jam,8.7,12.9,48.0,0.044,0.1,0.01,0.004,38.78762,Moderate
chunky peanut butter,1.3,3.5,94.0,1.3,3.8,8.0,0.03,-1.1853499999999997,Highly Recommended
ham and cheese spread,0.0,0.3,37.0,0.0,2.4,2.8,0.2,0.443665,Highly Recommended
chicken and rice casserole homade,0.0,2.4,27.0,0.3,2.0,1.0,0.0,0.9597200000000001,Highly Recommended
picnic loaf,0.0,1.3,65.0,0.0,4.2,4.7,0.3,1.550675,Highly Recommended
corn tamale,12.3,44.3,309.0,5.3,5.8,12.0,0.5,47.02330499999998,Avoid
baked potato with cheese sauce bacon,0.0,44.4,451.0,0.0,18.4,25.9,1.0,48.70866,Avoid
chinese egg roll,0.0,24.3,223.0,2.3,7.4,10.6,0.4,14.146835000000003,Moderate
butter croissant,6.4,26.1,231.0,1.5,4.7,12.0,0.2,36.381365,Moderate
enchilada with cheese beef,0.0,30.5,323.0,0.0,11.9,17.6,1.3,32.870725,Moderate
corned beef hash with potatoes,0.8,21.9,387.0,2.6,20.6,24.2,1.0,12.231294999999998,Moderate
biscuit with egg cheese bacon,2.5,35.4,436.0,0.3,17.4,25.3,1.2,44.40716,Moderate
bagel with ham egg cheese,7.0,52.4,483.0,0.4,26.7,18.5,1.3,75.35438,Avoid
quesadilla with chicken,3.4,43.3,529.0,3.1,27.1,27.5,1.3,36.77885499999999,Moderate
corn rice,3.0,25.2,110.0,0.4,1.8,0.3,0.2,31.852800000000002,Moderate
kung pao chicken,18.3,41.5,779.0,9.1,59.0,42.2,2.4,40.138275000000014,Moderate
beef empanada,1.6,27.8,298.0,1.8,10.1,16.3,0.4,22.541660000000004,Moderate
frijoles with cheese,0.0,28.7,225.0,0.0,11.4,7.8,0.9,30.067625,Moderate
burrito with beef,4.1,43.9,285.0,4.4,9.1,8.1,0.5,28.491725000000002,Moderate
crispy chicken sandwich,3.9,33.2,350.0,0.0,14.8,17.6,0.7,47.53000000000001,Avoid
enchilada with cheese,3.6,21.2,374.0,2.6,15.4,25.3,0.7,16.39132,Moderate
pork egg roll,4.5,25.1,189.0,1.8,8.4,6.1,0.3,27.109585,Moderate
corn on the cob with butter,0.0,31.9,155.0,0.0,4.5,3.4,0.056,32.812235,Moderate
pancakes with butter syrup,0.0,45.4,260.0,0.0,4.1,7.0,0.6,47.5266,Avoid
burrito with beans,0.0,35.7,224.0,0.0,7.0,6.7,0.5,37.239520000000006,Moderate
scrambled eggs,0.8,1.0,100.0,0.0,6.5,7.6,0.1,3.7960000000000003,Recommended
baked potato with sour cream,0.0,50.0,393.0,0.0,6.7,22.3,0.2,54.0645,Avoid
turkey and gravy,0.0,11.1,161.0,0.0,14.1,6.3,1.3,11.696064999999999,Moderate
chicken egg roll,4.5,22.8,158.0,1.9,8.4,3.6,0.4,23.819360000000003,Moderate
vegetable egg roll,5.3,25.0,153.0,2.2,5.2,3.6,0.4,26.36774999999999,Moderate
ham cheese roll,0.0,1.1,67.0,0.0,3.8,5.2,0.3,1.374055,Highly Recommended
biscuit with ham,2.2,43.8,386.0,0.8,13.4,18.4,1.1,48.30702,Avoid
lemon chicken,55.2,122.0,1440.0,7.0,68.6,74.9,1.5,264.31,Avoid
hummus,0.7,49.5,435.0,9.8,12.0,21.1,0.6,5.525874999999999,Recommended
croissant with egg cheese,0.0,24.3,368.0,0.0,12.8,24.7,0.6,26.88236,Moderate
enchirito with cheese beef beans,0.0,33.8,344.0,0.0,17.9,16.1,1.3,36.36207999999999,Moderate
sweet sour pork,1.4,3.3,38.0,0.1,1.2,2.2,0.003,6.93384,Recommended
crab cake,0.0,5.1,160.0,0.2,11.3,10.4,0.5,4.747399999999999,Recommended
egg dinner roll,1.5,18.2,107.0,1.3,3.3,2.2,0.2,14.069109999999998,Moderate
english muffin with egg cheese sausage,2.5,28.8,472.0,0.3,22.1,29.9,0.8,37.757039999999996,Moderate
buttermilk pancakes,0.0,10.9,86.0,0.0,2.6,3.5,0.2,11.217610000000002,Moderate
omelet,0.2,0.4,94.0,0.0,6.4,7.1,0.013,1.36077,Highly Recommended
taco with chicken cheese lettuce,1.3,19.3,185.0,1.2,13.0,6.2,0.6,15.711575,Moderate
spinach souffle,2.5,8.0,230.0,1.0,10.7,17.6,0.8,9.713999999999999,Moderate
english muffin with cheese sausage,2.1,27.3,365.0,0.5,14.3,22.3,0.7,32.741675,Moderate
potato gratin,0.0,27.6,328.0,4.4,12.4,18.6,1.1,7.89892,Recommended
biscuit with egg,2.5,35.4,436.0,0.3,17.4,25.3,1.2,44.40716,Moderate
french fries deep fried,0.2,29.4,222.0,2.7,2.4,10.5,0.1,17.615019999999998,Moderate
sweet sour chicken,2.1,4.4,46.0,0.2,1.8,2.3,0.043,9.455789999999999,Moderate
burrito with beans beef,5.3,47.0,460.0,7.2,27.8,18.0,1.4,20.721999999999998,Moderate
nachos with cinnamon sugar,0.0,63.4,592.0,0.0,7.2,36.0,0.4,70.83392,Avoid
arroz con grandules,0.0,35.4,209.0,1.6,4.0,5.7,0.7,28.80178999999999,Moderate
chili con carne,4.7,33.1,271.0,8.3,14.7,8.8,1.1,-1.668485000000004,Highly Recommended
arroz con abichuelas,0.2,37.3,223.0,4.1,6.2,5.4,0.6,18.533685,Moderate
biscuit with sausage,1.8,33.3,412.0,0.4,10.7,27.1,0.9,39.341939999999994,Moderate
vegetarian stew,3.1,17.3,304.0,2.7,42.0,7.4,1.0,9.003880000000002,Moderate
chicken sandwich with cheese,0.0,41.6,632.0,0.0,29.4,38.8,1.2,47.49568,Avoid
biscuit with egg steak,0.0,21.3,410.0,0.0,17.9,28.4,0.9,24.03895,Moderate
taco salad,0.0,17.9,212.0,0.0,10.0,11.2,0.6,19.03522,Moderate
succotash,0.0,46.8,213.0,0.0,9.7,1.5,0.5,48.375260000000004,Avoid
nachos with cheese jalapeno peppers,0.0,60.1,608.0,0.0,16.8,34.1,1.7,67.30311999999999,Avoid
biscuit with egg ham,4.2,31.4,442.0,0.8,20.4,27.0,1.4,41.88582,Moderate
ladyfingers,7.2,16.9,103.0,0.3,3.0,2.6,0.016,36.806264999999996,Moderate
mozzarella steak fried,0.7,7.7,102.0,0.6,4.6,5.9,0.2,6.044810000000002,Recommended
tamale navajo,1.8,33.7,285.0,5.8,11.7,11.4,0.8,8.608675000000002,Moderate
blueberry pancakes,0.0,11.0,84.0,0.0,2.3,3.5,0.2,11.315600000000002,Moderate
chimichanga with beef cheese,0.0,39.3,443.0,0.0,20.1,23.4,1.0,43.091485,Moderate
egg cheese sandwich,0.0,25.9,340.0,0.0,15.6,19.4,0.8,28.1989,Moderate
biscuit with egg bacon,3.3,28.6,458.0,0.8,17.0,31.1,1.3,36.47282,Moderate
pupusas con queso,1.4,26.2,300.0,3.4,13.7,15.5,0.5,12.628999999999996,Moderate
apple croissant,0.0,21.1,145.0,1.4,4.2,5.0,0.2,14.810925000000003,Moderate
refried red beans,0.0,36.0,336.0,11.0,11.7,16.1,0.9,-16.3716,Highly Recommended
tostada with guacamole,0.0,16.0,180.0,0.0,6.2,11.6,0.4,17.016,Moderate
chicken sandwich,6.8,39.1,468.0,2.6,30.4,20.9,1.4,45.23382,Avoid
fried rice,0.6,43.4,228.0,1.5,6.5,3.2,0.6,38.180279999999996,Moderate
pupusas del cerdo,1.8,28.1,283.0,3.2,14.0,12.7,0.5,15.822845000000004,Moderate
turkey pot pie,0.0,70.3,699.0,4.4,25.8,34.9,1.4,57.429954999999985,Avoid
cheese croissant,9.1,37.6,331.0,2.1,7.4,16.7,0.3,53.009840000000004,Avoid
chimichanga with beef,0.0,42.8,425.0,0.0,19.6,19.7,0.9,46.522499999999994,Avoid
french toast with butter,0.0,18.0,178.0,0.0,5.2,9.4,0.3,18.953599999999998,Moderate
ham egg cheese sandwich,0.0,30.9,347.0,0.0,19.2,16.3,1.0,33.333344999999994,Moderate
english muffin with butter,0.0,30.4,189.0,0.0,4.9,5.8,0.4,31.55584,Moderate
savoury noodle one pan dinner tandaco,0.0,5.5,172.0,0.0,0.0,1.2,0.0,5.701899999999999,Recommended
ham cheese sandwich,0.0,33.3,352.0,0.0,20.7,15.5,0.8,35.84124,Moderate
sweet gefilte fish,0.0,3.1,35.0,0.0,3.8,0.7,0.2,3.153275,Recommended
poached egg,0.2,0.4,72.0,0.0,6.3,4.7,0.1,1.24032,Highly Recommended
tostada with beef cheese,0.0,22.8,315.0,0.0,19.0,16.3,0.9,24.701300000000003,Moderate
tostada with beans cheese,0.0,26.5,223.0,0.0,9.6,9.9,0.5,27.886425,Moderate
pork tamale,0.7,22.4,247.0,3.4,10.4,12.8,0.7,7.611920000000003,Recommended
nachos with cheese,1.7,27.9,274.0,2.6,3.5,17.2,0.3,18.694689999999994,Moderate
pulled pork in barbecue sauce,37.8,46.7,418.0,3.0,32.8,11.0,1.7,142.74509,Avoid
baked potato with cheese sauce,0.0,46.5,474.0,0.0,14.6,28.7,0.4,51.24515,Avoid
baked beans,0.0,43.3,310.0,11.0,11.1,10.3,0.8,-9.16355,Highly Recommended
arroz con frijoles,1.3,35.6,220.0,5.0,6.8,5.6,0.6,13.425800000000002,Moderate
taco with beef cheese lettuce,0.6,13.7,156.0,2.7,6.1,8.8,0.3,1.5935799999999976,Highly Recommended
burrito with beans cheese beef,0.0,19.8,165.0,0.0,7.3,6.6,0.5,20.625049999999998,Moderate
egg mix,0.091,0.098,30.0,0.0,2.4,2.2,0.012,0.481561,Highly Recommended
falafel,0.0,5.4,57.0,0.0,2.3,3.0,0.081,5.596980000000001,Recommended
taco salad with chili con carne,0.0,17.7,193.0,0.0,11.6,8.8,0.6,18.658415,Moderate
wonton wrappers,0.0,18.5,93.0,0.6,3.1,0.5,0.2,15.785074999999997,Moderate
hushpuppies,3.1,69.9,512.0,4.3,11.7,20.5,1.0,58.05832000000001,Avoid
chicken pot pie,7.2,57.3,598.0,3.0,14.6,34.6,1.2,64.93181,Avoid
general tsos chicken,62.1,128.3,1578.0,4.8,69.0,87.5,2.3,309.3080000000001,Avoid
burrito with beans cheese,3.2,57.8,379.0,7.8,13.6,11.2,1.0,26.01593,Moderate
vegetarian fillets,0.7,7.7,247.0,5.2,19.6,15.3,0.4,-16.510715,Highly Recommended
biscuit with egg sausage,1.5,34.1,505.0,0.3,18.0,33.6,1.1,40.789075000000004,Moderate
chicken chow mein,10.5,50.1,513.0,6.0,40.8,16.9,1.9,44.619195000000005,Moderate
fruit burrito,0.0,35.0,231.0,0.0,2.5,9.5,0.2,36.689750000000004,Moderate
arroz con leche,38.6,63.0,369.0,1.3,8.1,9.3,0.3,173.72005000000001,Avoid
caramel custard flan,70.8,69.7,444.0,0.0,13.9,12.3,0.2,287.35902,Avoid
gelatin dessert,36.4,38.3,167.0,0.0,3.3,0.0,0.2,148.46141500000002,Avoid
chocolate milk dessert,51.6,51.6,229.0,0.0,5.9,1.4,0.1,208.24346,Avoid
chocolate mousse,22.2,24.1,338.0,0.9,6.2,24.0,0.081,86.86768000000001,Avoid
dulce de leche,9.5,10.5,60.0,0.0,1.3,1.4,0.036,39.16486,Moderate
apple crisp,55.5,87.0,454.0,3.9,4.9,9.7,1.0,232.81470000000002,Avoid
spinach spaghetti cooked,0.0,36.6,182.0,0.0,6.4,0.9,0.061,37.64479000000001,Moderate
corn pasta cooked,0.0,39.1,176.0,6.7,3.7,1.0,0.0,6.682239999999997,Recommended
spaghetti with meat sauce,7.4,43.1,255.0,5.1,14.3,2.9,0.7,31.655575000000006,Moderate
pasta with meatballs in tomato sauce,7.2,28.3,273.0,6.9,10.6,13.0,0.7,3.760885000000002,Recommended
cheese tortellini,1.0,50.8,332.0,2.1,14.6,7.8,0.4,44.27383999999999,Moderate
pasta with sliced franks in tomato sauce,8.0,32.0,227.0,4.0,11.0,6.0,0.7,29.596599999999995,Moderate
lasagna,3.8,18.9,166.0,2.1,9.0,6.1,0.5,16.485609999999994,Moderate
macaroni cheese,3.0,43.7,310.0,2.3,12.6,9.4,0.9,39.22605,Moderate
vegetable lasagna,5.8,32.2,316.0,4.3,15.6,13.7,1.0,21.93628,Moderate
spinach egg noodles cooked,1.1,38.8,211.0,3.7,8.1,2.5,0.068,22.808699999999998,Moderate
cheese lasagna,10.3,33.6,316.0,4.1,15.9,13.0,0.7,38.25464,Moderate
pasta with tomato sauce,10.1,35.1,176.0,2.3,5.6,1.8,1.0,50.44164000000001,Avoid
spinach pasta cooked,0.0,7.1,37.0,0.0,1.4,0.3,0.004,7.154445,Recommended
vegetable chicken soup,3.4,21.1,166.0,1.0,12.3,4.8,0.075,25.11614,Moderate
bean ham soup,7.8,33.5,198.0,9.8,10.3,2.5,0.5,-6.185050000000004,Highly Recommended
cream of chicken soup,1.4,18.0,227.0,0.0,6.0,14.5,1.8,23.5559,Moderate
tomato soup canned,16.5,22.6,139.0,1.5,6.3,3.3,0.5,62.31621000000001,Avoid
egg drop soup,0.2,10.3,65.0,1.0,2.8,1.5,0.9,5.694425000000001,Recommended
scotch broth,0.0,23.0,197.0,3.0,12.1,6.4,2.1,9.02065,Moderate
cream of onion soup,11.1,31.7,268.0,1.2,6.7,12.8,1.9,58.59334,Avoid
chicken broth dry,0.0,1.1,10.0,0.0,0.7,0.2,1.2,1.12365,Highly Recommended
vegetable soup with beef broth,4.0,26.3,162.0,3.2,6.0,3.8,1.3,16.90209,Moderate
chili with beans canned,3.0,30.5,287.0,11.3,14.6,14.1,1.3,-20.818975000000005,Highly Recommended
beef noodle soup,5.2,17.9,168.0,1.5,9.6,6.2,1.6,23.852079999999997,Moderate
consomme dry,1.1,1.9,17.0,0.0,2.2,0.2,0.8,5.222845,Recommended
chicken mushroom soup,1.0,15.1,126.0,4.0,2.0,6.1,0.8,-3.251610000000003,Highly Recommended
beef vegetable soup,3.1,15.4,120.0,3.0,8.0,2.9,0.8,4.280199999999997,Recommended
black bean soup,6.4,39.6,234.0,17.5,12.4,3.4,2.5,-39.59504,Highly Recommended
split pea soup with ham bacon,0.0,28.6,189.0,4.1,11.6,3.1,1.0,9.075810000000004,Moderate
cream of mushroom soup,1.0,17.1,199.0,1.8,3.4,13.4,1.7,10.347435000000004,Moderate
green pea soup,16.7,51.7,320.0,10.0,16.7,5.7,1.7,35.08359999999999,Moderate
chicken broth soup,0.9,1.9,78.0,0.0,11.1,2.6,1.6,4.76823,Recommended
chicken mushroom chowder soup,0.0,38.3,431.0,7.5,16.2,23.7,1.8,4.479095000000001,Recommended
chicken dumplings soup,1.4,14.7,235.0,1.2,13.6,13.4,1.8,11.766175,Moderate
chicken vegetable soup,3.0,17.0,148.0,1.7,7.1,5.6,1.7,14.8594,Moderate
turkey vegetable soup,2.6,8.6,72.0,0.5,3.1,3.0,0.9,13.17688,Moderate
wonton soup,0.8,11.7,71.0,0.4,4.6,0.6,0.9,11.483605,Moderate
beef stock,1.3,2.9,31.0,0.0,4.7,0.2,0.5,6.828485000000001,Recommended
mushroom barley soup,0.0,29.3,186.0,0.0,4.6,5.5,1.7,30.40947,Moderate
gazpacho soup,2.2,6.6,70.0,0.7,10.7,0.4,1.1,8.435300000000002,Moderate
beef mushroom soup,0.0,15.9,186.0,0.6,14.0,7.3,2.2,13.730609999999997,Moderate
chicken rice soup,1.4,13.0,127.0,1.0,12.3,3.2,0.9,10.66665,Moderate
pepperpot soup,0.0,9.1,100.0,0.5,6.2,4.5,0.9,6.9704999999999995,Recommended
vegetable soup,7.9,24.6,149.0,1.3,4.3,4.0,1.3,40.02781,Moderate
chili beef soup,13.4,49.6,308.0,6.6,13.4,6.7,2.1,46.57752,Avoid
chicken soup,2.1,16.9,174.0,1.5,12.4,6.5,0.9,13.550089999999997,Moderate
bean with frankfurters soup,0.0,22.0,188.0,0.0,10.0,7.0,1.1,22.9814,Moderate
pea soup,8.3,25.6,161.0,4.9,8.3,2.8,0.015,17.20339,Moderate
turkey soup,0.0,14.1,135.0,0.0,10.2,4.4,0.9,14.614525,Moderate
stockpot soup,0.0,23.1,201.0,0.0,9.8,7.8,2.1,24.207465000000003,Moderate
hot sour soup,1.0,10.1,91.0,1.2,6.0,2.8,0.9,5.436865,Recommended
cheese soup,9.3,28.0,203.0,5.5,2.0,9.7,1.7,19.02960000000001,Moderate
cream of potato soup,3.6,32.2,186.0,3.3,3.8,4.7,1.5,21.213380000000004,Moderate
bean with bacon soup,0.6,16.4,106.0,9.0,5.5,2.1,0.9,-27.595240000000004,Highly Recommended
fish stock,0.0,0.0,40.0,0.0,5.3,1.9,0.4,0.099,Highly Recommended
split pea soup with ham,0.0,56.2,381.0,4.6,20.7,8.9,1.7,36.873830000000005,Moderate
beef broth soup,0.0,0.01,17.0,0.0,2.7,0.5,0.9,0.0440255,Highly Recommended
lentil soup with ham,0.0,20.2,139.0,0.0,9.3,2.8,1.3,20.77417,Moderate
tomato soup,12.2,22.5,98.0,1.6,2.2,0.7,0.6,48.351749999999996,Avoid
fish broth,0.2,1.0,39.0,0.0,4.9,1.5,0.5,1.6858499999999998,Highly Recommended
chili without beans canned,0.0,14.6,283.0,0.0,18.1,17.0,0.9,16.078770000000002,Moderate
minestrone soup,3.7,22.6,167.0,2.0,8.6,5.0,1.3,20.629130000000007,Moderate
clam chowder soup,6.8,24.5,154.0,3.0,4.4,4.4,1.8,24.853949999999998,Moderate
tomato vegetable soup,2.4,9.9,54.0,0.7,1.9,0.8,0.3,12.35819,Moderate
cream of rice coup,0.022,28.1,127.0,0.2,2.2,0.2,0.4,27.672405000000005,Moderate
cream of celery soup,3.4,17.7,181.0,1.5,3.3,11.2,1.3,18.528554999999997,Moderate
chicken gravy,1.9,12.9,188.0,1.0,4.6,13.6,1.0,12.703780000000002,Moderate
tomato rice soup,15.2,44.1,240.0,3.4,4.2,5.5,1.6,67.94860000000001,Avoid
vegetable beef soup,0.0,9.6,128.0,4.4,18.1,2.0,1.1,-12.104680000000002,Highly Recommended
tomato beef noodle soup,0.0,42.3,281.0,3.0,8.9,8.6,1.8,29.530944999999996,Moderate
oyster stew soup,0.0,8.2,118.0,0.0,4.2,7.7,1.8,8.74814,Moderate
ramen noodle soup dry,1.3,53.9,371.0,2.0,8.9,13.3,1.7,48.946535000000004,Avoid
chicken noodle soup,0.0,18.4,145.0,2.7,7.2,4.7,2.1,5.5562000000000005,Recommended
chicken bouillon dry,0.7,0.7,11.0,0.0,0.7,0.6,1.0,2.841154999999999,Recommended
cream of asparagus soup,1.8,21.5,174.0,1.0,4.6,8.2,1.7,20.93815,Moderate
turkey noodle soup,1.0,17.3,139.0,1.5,7.8,4.0,1.6,11.426704999999998,Moderate
cream of shrimp soup,0.0,16.5,181.0,0.5,5.6,10.4,1.7,14.984974999999999,Moderate
bean with pork soup,7.8,44.1,335.0,15.3,15.3,11.5,1.7,-21.401975,Highly Recommended
chicken broth,0.0,1.0,12.0,0.0,1.0,0.5,0.9,1.0357999999999998,Highly Recommended
beef broth powder,0.6,0.6,8.0,0.0,0.6,0.3,0.9,2.4247199999999998,Recommended
split pea soup,12.8,29.9,180.0,4.8,9.7,2.3,0.4,35.866299999999995,Moderate
escarole soup,0.0,4.0,61.0,0.0,3.4,4.0,2.3,4.2596,Recommended
chicken stock,3.8,8.5,86.0,0.0,6.0,2.9,0.3,20.157649999999997,Moderate
tomato bisque soup,0.0,47.7,248.0,2.1,4.5,5.0,1.8,39.24244,Moderate
shark fin soup,0.0,8.2,99.0,0.0,6.9,4.3,1.1,8.547769999999998,Moderate
onion soup,6.7,16.4,113.0,1.7,7.5,3.5,1.3,25.15098,Moderate
chicken gumbo soup,4.9,16.8,113.0,4.0,5.3,2.9,1.7,4.1467600000000004,Recommended
crab soup,0.0,12.5,95.0,2.4,10.4,0.8,0.6,0.724124999999999,Highly Recommended
tripe soup,0.0,8.1,148.0,0.0,17.2,5.2,0.8,8.547819999999998,Moderate
little india little lunch,0.0,2.0,164.0,0.0,0.0,10.6,0.0,2.5792,Recommended
original chicken sandwich chick fil a,0.0,0.0,125.0,0.0,0.0,5.1,0.0,0.255,Highly Recommended
sausage mcmuffin mcdonalds,2.2,28.2,383.0,1.6,14.6,24.2,0.8,26.51809,Moderate
sausage mcgriddles mcdonalds,15.2,42.2,421.0,1.4,11.4,24.0,1.0,81.94493000000001,Avoid
crispy chicken drumstick kentucky fried chicken,0.0,0.0,70.0,0.0,10.6,3.0,0.2,0.15200000000000002,Highly Recommended
chicken crispy drumsticks kentucky fried chicken,0.0,4.5,156.0,0.0,11.8,10.1,0.4,5.114299999999999,Recommended
biscuit kentucky fried chicken,1.7,22.1,185.0,0.8,3.8,9.1,0.5,22.713275,Moderate
english muffin mcdonalds,1.5,2.9,97.0,0.2,5.7,2.3,0.031,6.167505000000001,Recommended
french fries mcdonalds,0.2,49.8,378.0,4.6,4.0,18.1,0.2,30.74066,Moderate
hotdog,0.0,28.5,383.0,0.0,16.4,23.0,1.1,31.298325,Moderate
french fries burger king,0.4,28.6,207.0,2.1,2.4,9.2,0.2,19.87003,Moderate
original taco with beef cheese lettuce taco bell,0.6,13.7,158.0,2.7,6.1,8.8,0.3,1.5976899999999983,Highly Recommended
hotdog with chili,0.0,31.3,296.0,0.0,13.5,13.4,0.5,33.364720000000005,Moderate
chicken crispy wings kentucky fried chicken,0.0,5.1,148.0,0.0,9.2,10.1,0.3,5.72122,Recommended
egg white delight mcdonalds,0.0,0.0,250.0,0.0,0.0,16.0,0.0,0.8,Highly Recommended
french toast sticks burger king,2.1,8.7,73.0,0.3,1.3,3.7,0.014,13.195405,Moderate
mcchicken mcdonalds,4.7,36.6,358.0,1.7,13.7,17.3,0.8,41.72342000000001,Moderate
nachos supreme taco bell,0.0,45.0,480.0,8.0,14.8,26.6,0.8,9.578000000000003,Moderate
crispy chicken wing kentucky fried chicken,0.0,1.3,104.0,0.0,12.6,5.3,0.3,1.58828,Highly Recommended
chicken strips burger king,0.0,7.4,105.0,0.5,6.6,5.5,0.3,5.294550000000001,Recommended
crispy chicken breast kentucky fried chicken,0.0,0.4,214.0,0.0,38.2,6.7,0.7,0.7548400000000001,Highly Recommended
sausage biscuit mcdonalds,2.3,31.8,440.0,1.4,11.3,29.7,1.0,32.56379999999999,Moderate
sausage burrito mcdonalds,1.4,24.2,339.0,1.2,13.0,17.1,0.8,22.15357,Moderate
onion rings fried,0.4,2.8,27.0,0.2,0.3,1.6,0.015,2.7014899999999997,Recommended
onion rings burger king,4.9,39.7,379.0,2.5,3.5,23.0,0.7,40.438945000000004,Moderate
turkey patty fried,0.053,4.4,79.0,0.1,3.9,5.0,0.2,4.25979,Recommended
hotcakes with syrup mcdonalds,45.5,101.8,601.0,2.0,9.0,17.8,0.6,234.31099999999995,Avoid
crispy chicken thigh kentucky fried chicken,0.0,0.0,163.0,0.0,20.4,9.1,0.5,0.46,Highly Recommended
corn dog,5.9,21.0,195.0,0.8,6.7,9.4,0.5,34.22925,Moderate
chicken box mcdonalds,0.5,5.5,70.0,0.0,0.2,4.0,0.0,7.257750000000001,Recommended
potato wedges kentucky fried chicken,0.0,45.0,379.0,4.2,5.4,19.8,1.0,27.558249999999997,Moderate
scrambled eggs mcdonalds,0.1,0.9,98.0,0.0,7.7,7.5,0.04,1.5886300000000002,Highly Recommended
egg mcmuffin mcdonalds,2.7,27.3,287.0,1.4,17.2,12.2,0.8,27.463265000000007,Moderate
nachos taco bell,0.0,36.0,362.0,3.8,5.1,21.9,0.5,20.054800000000004,Moderate
biscuit large mcdonalds,2.7,39.4,310.0,1.8,5.5,14.4,0.9,37.55109999999999,Moderate
crispy chicken strips kentucky fried chicken,0.0,6.4,129.0,0.7,9.5,7.2,0.4,3.3878400000000006,Recommended
hotcakes mcdonalds,4.4,19.0,113.0,0.7,3.0,2.9,0.2,27.80405,Moderate
chicken crispy breast kentucky fried chicken,0.0,11.9,375.0,0.0,29.7,23.2,0.8,13.737375,Moderate
hotcakes sausage mcdonalds,45.7,102.4,776.0,2.1,15.5,34.9,0.9,238.29899999999998,Avoid
chicken mcnuggets mcdonalds,0.025,2.4,48.0,0.0,2.5,3.2,0.009,2.6523700000000003,Recommended
chips chipotle,2.1,2.1,151.0,0.0,0.2,7.1,0.0,8.802565000000001,Moderate
biscuit mcdonalds,2.2,33.3,261.0,1.5,4.7,12.2,0.7,31.39569499999999,Moderate
rice bowl with chicken,1.2,6.4,36.0,0.2,1.6,0.4,0.064,8.6652,Moderate
spaghetti with meatballs,5.8,22.9,200.0,5.4,8.7,8.2,0.6,3.8729999999999976,Recommended
meat ravioli canned,6.3,36.0,259.0,4.2,8.9,8.9,0.9,27.5626,Moderate
cheese ravioli canned,9.0,33.0,186.0,3.1,6.0,3.5,0.7,39.5577,Moderate
premium crispy chicken ranch blt sandwich mcdonalds,13.3,59.8,586.0,3.4,35.3,22.9,1.2,82.48342000000001,Avoid
steak sandwich,0.0,52.0,459.0,0.0,30.3,14.1,0.8,56.2932,Avoid
cheeseburger burger king,6.0,31.5,380.0,3.7,19.4,19.7,0.8,26.5735,Moderate
cheeseburger mcdonalds,7.4,33.1,313.0,1.3,15.4,14.0,0.7,48.526045,Avoid
double cheeseburger,9.5,41.0,643.0,2.1,37.0,36.9,0.9,60.71344999999999,Avoid
double hamburger,13.2,51.4,942.0,5.2,52.1,58.6,1.1,65.06382,Avoid
premium grilled chicken classic sandwich mcdonalds,10.0,44.6,366.0,2.8,28.3,8.6,0.8,58.02654,Avoid
big n tasty with cheese mcdonalds,9.5,39.7,573.0,3.2,27.2,36.0,1.0,51.182215,Avoid
premium grilled chicken club sandwich mcdonalds,6.4,44.3,493.0,2.7,38.3,18.0,1.0,48.92098499999999,Avoid
quarter pounder mcdonalds,8.8,37.9,417.0,2.7,24.1,19.8,0.7,48.90264499999999,Avoid
premium crispy chicken classic sandwich mcdonalds,12.4,58.6,524.0,3.2,27.8,20.0,1.0,79.17596,Avoid
veggie burger,0.7,10.0,124.0,3.4,11.0,4.4,0.4,-5.855000000000001,Highly Recommended
quarter pounder with cheese mcdonalds,9.8,39.7,513.0,2.8,29.0,28.3,1.2,54.121915000000016,Avoid
beef sandwich steak raw,0.0,0.0,173.0,0.0,9.2,15.1,0.043,0.75543,Highly Recommended
cheeseburger,5.9,28.7,292.0,1.6,15.0,13.2,0.6,37.20306,Moderate
premium grilled chicken ranch blt sandwich mcdonalds,10.5,44.3,412.0,2.8,33.7,10.9,1.0,59.63274,Avoid
double whopper with cheese burger king,14.4,53.9,1061.0,6.4,57.7,68.1,1.5,64.61818500000001,Avoid
big mac mcdonalds,8.7,44.0,563.0,3.5,25.9,32.8,1.0,51.1408,Avoid
sandwich with cold cuts,12.4,79.9,833.0,4.7,41.1,39.3,2.2,96.405505,Avoid
